Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
,WoO 76,,Biamonti 179, Variations on 'Tändeln und Scherzen' (8),F major, pf,Keyboard,"WoO 76, Biamonti 179",1799.0,0.0,F,,major,Piano variations,other
,WoO 77,,Biamonti 209, Variations in G major(6) ('Six Easy Variations on an Original Theme'),G major, pf,Keyboard,"WoO 77, Biamonti 209",1800.0,0.0,G,,major,Piano variations,other
,WoO 78,,Biamonti 368, Variations on 'God Save the King' (7),C major, pf,Keyboard,"WoO 78, Biamonti 368",1803.0,0.0,C,,major,Piano variations,other
,WoO 79,,Biamonti 369, Variations on 'Rule Britannia' (5),D major, pf,Keyboard,"WoO 79, Biamonti 369",1803.0,0.0,D,,major,Piano variations,other
,WoO 80,,Biamonti 430, Variations (32),C minor, pf,Keyboard,"WoO 80, Biamonti 430",1806.0,1.0,C,,minor,Piano variations,other
,WoO 81,,Biamonti 266, Allemande,A major, pf,Keyboard,"WoO 81, Biamonti 266",1718.0,0.0,A,,major,Other,other
,WoO 82,,Biamonti 373, Minuet,E flat major, pf,Keyboard,"WoO 82, Biamonti 373",1803.0,0.0,E flat,,major,Minuet for Piano,other
,WoO 83,,Biamonti 437, Ecossaises (6),E flat major, pf,Keyboard,"WoO 83, Biamonti 437",1806.0,0.0,E flat,,major,Other,other
,WoO 84,,Biamonti 793, Waltz,E flat major, pf,Keyboard,"WoO 84, Biamonti 793",1824.0,0.0,E flat,,major,Waltz for Piano,other
,WoO 85,,Biamonti 828, Waltz,D major, pf,Keyboard,"WoO 85, Biamonti 828",1825.0,0.0,D,,major,Waltz for Piano,other
,WoO 86,,Biamonti 829, Ecossaise,E flat major, pf,Keyboard,"WoO 86, Biamonti 829",1825.0,0.0,E flat,,major,Other,other
,WoO 87,,Biamonti 17, Cantata on the Death of Emperor Joseph II (Trauerkantate auf den Tod Joseph II),C minor, sop bass ch orch,Vocal,"WoO 87, Biamonti 17",1790.0,1.0,C,,minor,Cantata,other
,WoO 88,,Biamonti 18, Cantata on the Accession of Emperor Leopold II (Kantate auf die Erhebung Leopold II zur Kaiserwürde),A flat major, sop ten bass ch orch,Vocal,"WoO 88, Biamonti 18",1790.0,0.0,A flat,,major,Cantata,other
,WoO 89,,Biamonti 28/1," Prüfung des Küssens (""Meine weise Mutter spricht"")",F major, bass orch,Vocal,"WoO 89, Biamonti 28/1",1792.0,0.0,F,,major,Song,other
,WoO 90,,Biamonti 28/2, Mit Mädeln sich vertragen,D major, bass orch,Vocal,"WoO 90, Biamonti 28/2",1792.0,0.0,D,,major,Song,other
,WoO 91 No. 1,,Biamonti 119/1, Die schöne Schusterin  arias for Umlau's Singspiel : O welch ein Leben! ein ganzes Meer,F major, sop orch,Vocal,"WoO 91 No. 1, Biamonti 119/1",1795.0,0.0,F,,major,Song,other
,WoO 91 No. 2,,Biamonti 119/2, Die schöne Schusterin  arias for Umlau's Singspiel : Soll ein Schuh nicht drücken,B flat major, sop orch,Vocal,"WoO 91 No. 2, Biamonti 119/2",1795.0,0.0,B flat,,major,Song,other
,WoO 92,,Biamonti 214, Primo amore piacer del ciel  scene and aria,A major, sop orch,Vocal,"WoO 92, Biamonti 214",1792.0,0.0,A,,major,Song,other
,WoO 92a,Hess 119,Biamonti 304, No  non turbarti  scene and aria,unknown, sop str,Vocal,"WoO 92a, Biamonti 304",1802.0,,unknown,,unknown key,Song,other
,WoO 93,Hess 120,Biamonti 352, Ne' giorni tuoi felici  duet,unknown, sop ten orch,Vocal,"WoO 93, Biamonti 352",1802.0,,unknown,,unknown key,Duo,other
,WoO 94,,Biamonti 568, Germania,B flat major, vv ch orch,Vocal,"WoO 94, Biamonti 568",1814.0,0.0,B flat,,major,Song,other
,WoO 95,,Biamonti 583," Chorus for the Allied Princes (Chor auf die verbündeten Fürsten) (""Ihr weisen Gründer"")",A major, ch orch,Vocal,"WoO 95, Biamonti 583",1814.0,0.0,A,,major,Song,other
,WoO 96,,Biamonti 595, Leonore Prohaska  incidental music,unknown, nar sop mch orch,Orchestral,"WoO 96, Biamonti 595",1815.0,,unknown,,unknown key,Incidental music,other
,WoO 97,,Biamonti 598, Es ist vollbracht  chorus,D major, bass ch orch,Vocal,"WoO 97, Biamonti 598",1815.0,0.0,D,,major,Song,other
,WoO 98,Hess 118,Biamonti 742, Wo sich die Pulse  chorus,B flat major, sop ch orch,Orchestral,"WoO 98, Biamonti 742",1822.0,0.0,B flat,,major,Other,other
,WoO 99 No. 1,Hess 211,Biamonti 58, Italian Partsongs:  Bei labbri  che Amore,B flat major, 2vv,Vocal,"WoO 99 No. 1, Biamonti 58",1803.0,0.0,B flat,,major,Song,other
,WoO 99 No. 2,Hess 214,Biamonti 202, Italian Partsongs:  Chi mai di questo core,C major, 3vv,Vocal,"WoO 99 No. 2, Biamonti 202",1803.0,0.0,C,,major,Song,other
,WoO 99 No. 3a,Hess 208,Biamonti 143, Italian Partsongs:  Fra tutte le pene,unknown, 2vv,Vocal,"WoO 99 No. 3a, Biamonti 143",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 3b,Hess 225,Biamonti 144, Italian Partsongs:  Fra tutte le pene,unknown, 2vv,Vocal,"WoO 99 No. 3b, Biamonti 144",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 3b,Hess 209,Biamonti 145, Italian Partsongs:  Fra tutte le pene,unknown, 2vv,Vocal,"WoO 99 No. 3b, Biamonti 145",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 3c,Hess 224,Biamonti 146, Italian Partsongs:  Fra tutte le pene,unknown, 2vv,Vocal,"WoO 99 No. 3c, Biamonti 146",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 3c,Hess 210,Biamonti 147, Italian Partsongs:  Fra tutte le pene,unknown, 2vv,Vocal,"WoO 99 No. 3c, Biamonti 147",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 4a,Hess 222,Biamonti 341, Italian Partsongs:  Già la notte s'avvicina,unknown, 4vv,Vocal,"WoO 99 No. 4a, Biamonti 341",1803.0,,unknown,,unknown key,Song,other
,WoO 99 No. 4b,Hess 223,Biamonti 342, Italian Partsongs:  Già la notte s'avvicina,unknown, 3vv,Vocal,"WoO 99 No. 4b, Biamonti 342",1803.0,,unknown,,unknown key,Song,other
,,Hess 230,Biamonti 215, Giura il nocchier,C major, 4vv,Vocal,"Hess 230, Biamonti 215",1794.0,0.0,C,,major,Song,other
,WoO 99 No. 5a,Hess 221,Biamonti 336, Italian Partsongs:  Giura il nocchier,C major, 4vv,Vocal,"WoO 99 No. 5a, Biamonti 336",1803.0,0.0,C,,major,Song,other
,WoO 99 No. 5b,Hess 227,Biamonti 59, Italian Partsongs:  Giura il nocchier,C major, 3vv,Vocal,"WoO 99 No. 5b, Biamonti 59",1803.0,0.0,C,,major,Song,other
,WoO 99 No. 6,Hess 212,Biamonti 60, Italian Partsongs:  Ma tu tremi  o mio tesoro,G major, 3vv,Vocal,"WoO 99 No. 6, Biamonti 60",1803.0,0.0,G,,major,Song,other
,WoO 99 No. 7a,Hess 217,Biamonti 109, Italian Partsongs:  Nei campi e nelle selve,C major, 4vv,Vocal,"WoO 99 No. 7a, Biamonti 109",1803.0,0.0,C,,major,Song,other
,WoO 99 No. 7b,Hess 220,Biamonti 110, Italian Partsongs:  Nei campi e nelle selve,C major, 4vv,Vocal,"WoO 99 No. 7b, Biamonti 110",1803.0,0.0,C,,major,Song,other
,WoO 99 No. 8,,Biamonti 84, Italian Partsongs:  O care selve,G major, v uch,Vocal,"WoO 99 No. 8, Biamonti 84",1795.0,0.0,G,,major,Song,other
,WoO 99 No. 9,Hess 216,Biamonti 127, Italian Partsongs:  Per te d'amico aprile,E flat major, 3vv,Vocal,"WoO 99 No. 9, Biamonti 127",1803.0,0.0,E flat,,major,Song,other
,WoO 99 No. 10a,Hess 213,Biamonti 149, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal,"WoO 99 No. 10a, Biamonti 149",1803.0,0.0,A,,major,Song,other
,WoO 99 No. 10b,Hess 218,Biamonti 148, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal,"WoO 99 No. 10b, Biamonti 148",1803.0,0.0,A,,major,Song,other
,WoO 99 No. 10c,Hess 219,Biamonti 150, Italian Partsongs:  Quella cetra ah pur tu sei,A major, 3vv,Vocal,"WoO 99 No. 10c, Biamonti 150",1803.0,0.0,A,,major,Song,other
,WoO 99 No. 11,Hess 215,Biamonti 128, Italian Partsongs:  Scrivo in te,D major, 3vv,Vocal,"WoO 99 No. 11, Biamonti 128",1803.0,0.0,D,,major,Song,other
,WoO 99 No. 12,Hess 226,Biamonti 335, Italian Partsongs:  Silvio  amante disperato,unknown, 4vv,Vocal,"WoO 99 No. 12, Biamonti 335",1802.0,,unknown,,unknown key,Song,other
,WoO 100,Hess 278,Biamonti 303," Lob auf den Dicken (""Schuppanzigh ist ein Lump"")  musical joke",G major, ten 2bass ch,Vocal,"WoO 100, Biamonti 303",1801.0,0.0,G,,major,Song,other
,WoO 101,Hess 279,Biamonti 331, Graf  liebster Graf  liebstes Schaf  musical joke,E flat major, 3vv,Vocal,"WoO 101, Biamonti 331",1802.0,0.0,E flat,,major,Song,other
,WoO 102,,Biamonti 573," Abschiedsgesang (""Die Stunde schlägt"") ('Song of Farewell')",B flat major, ten 2bass,Vocal,"WoO 102, Biamonti 573",1814.0,0.0,B flat,,major,Song,other
,WoO 103,Hess 127,Biamonti 574," Un lieto brindisi('Cantata campestre') (""Johannisfeier begehn wir heute"")",B flat major, 4vv pf,Vocal,"WoO 103, Biamonti 574",1814.0,0.0,B flat,,major,Cantata,other
,WoO 104,,Biamonti 673," Gesang der Mönche (""Rasch tritt der Tod den Menchen an"") (Song of the Monks)",C minor, 2ten bass,Vocal,"WoO 104, Biamonti 673",1817.0,1.0,C,,minor,Song,other
,WoO 105,Hess 124,Biamonti 696," Hochzeitslied(""Auf Freunde  singt dem Gott der ehen!"")",A major, bass ch pf,Vocal,"WoO 105, Biamonti 696",1819.0,0.0,A,,major,Song,other
,WoO 106,,Biamonti 772, Lobkowitz-Cantate,E flat major, sop ch pf,Vocal,"WoO 106, Biamonti 772",1823.0,0.0,E flat,,major,Cantata,other
,WoO 107,,Biamonti 7," Schilderung eines Mädchens(""Schildern  willst du Freund  soll ich dir Elisen?"")",G major, v pf,Vocal,"WoO 107, Biamonti 7",1782.0,0.0,G,,major,Song,other
,WoO 108,,Biamonti 9," An einen Säugling (""Noch weisst du nicht  wes Kind du bist"")",A major, v pf,Vocal,"WoO 108, Biamonti 9",1783.0,0.0,A,,major,Song,other
,WoO 109,,Biamonti 13," Trinklied (beim Abschied zu singen) (""Erhebt das Glas mit froher Hand"")",C major, v pf,Vocal,"WoO 109, Biamonti 13",1792.0,0.0,C,,major,Song,other
,WoO 110,,Biamonti 14," Elegie auf den Tod eines Pudels (""Stirb immerhin  es welken ja so viele der Freuden"")",F minor, v pf,Vocal,"WoO 110, Biamonti 14",1790.0,1.0,F,,minor,Song,other
,WoO 111,Hess 126,Biamonti 22," Punschlied(""Wer nicht  wenn warm von Hand zu Hand"")",G major, v pf,Vocal,"WoO 111, Biamonti 22",1792.0,0.0,G,,major,Song,other
,WoO 112,Hess 128,Biamonti 27," An Laura(""Freud' umblühe dich auf allen Wegen"")",G major, v pf,Vocal,"WoO 112, Biamonti 27",1792.0,0.0,G,,major,Song,other
,WoO 113,,Biamonti 23, Klage,E major, v pf,Vocal,"WoO 113, Biamonti 23",1790.0,0.0,E,,major,Song,other
,WoO 114,,Biamonti 38," Ein Selbstgespräch (""Ich  der mit flatternden Sinn"")",E major, v pf,Vocal,"WoO 114, Biamonti 38",1793.0,0.0,E,,major,Song,other
,WoO 115,,Biamonti 45," An Minna(""Nur bei dir  an deinem Herzen"")",D major, v pf,Vocal,"WoO 115, Biamonti 45",1792.0,0.0,D,,major,Song,other
