Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
Op. 82 No. 2,,,Biamonti 513/2," Arietten und ein Duett : Liebes-Klage (""T'intendo  si  mio cor"")",, v pf,Vocal, NaN,"Op. 82 No. 2, Biamonti 513/2",1810.0,,
Op. 82 No. 3,,,Biamonti 513/3," Arietten und ein Duett : Che fa il mio bene? (""L'amante impatiente"")",, v pf,Vocal, NaN,"Op. 82 No. 3, Biamonti 513/3",1810.0,,
Op. 82 No. 4,,,Biamonti 513/4," Arietten und ein Duett : Che fa il mio bene? (""L'amante impatiente"")",, v pf,Vocal, NaN,"Op. 82 No. 4, Biamonti 513/4",1810.0,,
Op. 82 No. 5,,,Biamonti 513/5," Arietten und ein Duett : Lebensgenuß (""Odi l'aura che dolce sospira"")",, 2vvv pf,Vocal, NaN,"Op. 82 No. 5, Biamonti 513/5",1810.0,,
Op. 83 No. 1,,,Biamonti 531," Gesänge :  Wonne der Wehmut (""Trocknet nicht  Tränen der ewigen Liebe!"")",, v pf,Vocal, NaN,"Op. 83 No. 1, Biamonti 531",1810.0,,
Op. 83 No. 2,,,Biamonti 531," Gesänge :  Sensucht (""Was zieht mir das Herz so?"")",, v pf,Vocal, NaN,"Op. 83 No. 2, Biamonti 531",1810.0,,
Op. 83 No. 3,,,Biamonti 531," Gesänge :  Mit einem gemalten Band (""Kleine Blumen  kleine Blätter streuen wir mit leichter Hand"")",, v pf,Vocal, NaN,"Op. 83 No. 3, Biamonti 531",1810.0,,
Op. 84,,,Biamonti 518, Egmont,, vv orch,Stage, NaN,"Op. 84, Biamonti 518",1810.0,,
Op. 85,,,Biamonti 363, Christus am Ölberge ('Christ on the Mount of Olives'),, 3vv ch orch,Vocal, NaN,"Op. 85, Biamonti 363",1804.0,,
Op. 86,,,Biamonti 439, Mass,C major, 4vvch orch,Vocal, NaN,"Op. 86, Biamonti 439",1807.0,0.0,C
Op. 87,,,Biamonti 63, Trio,C major, 2ob eh,Chamber, NaN,"Op. 87, Biamonti 63",1795.0,0.0,C
Op. 88,,,Biamonti 370," Das Glück der Freundschaft (""Der lebt ein Leben wonniglich"")",, v pf,Vocal, NaN,"Op. 88, Biamonti 370",1803.0,,
Op. 89,,,Biamonti 588, Polonaise in C major,C major, pf,Keyboard, NaN,"Op. 89, Biamonti 588",1814.0,0.0,C
Op. 90,,,Biamonti 578, Piano Sonata No.27,E minor, pf,Keyboard, NaN,"Op. 90, Biamonti 578",1814.0,1.0,E
Op. 91,,,Biamonti 560, Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'),, orch,Orchestral, NaN,"Op. 91, Biamonti 560",1813.0,,
Op. 92,,,Biamonti 544, Symphony No.7,A major, orch,Orchestral, NaN,"Op. 92, Biamonti 544",1812.0,0.0,A
Op. 93,,,Biamonti 659, Symphony No.8,F major, orch,Orchestral, NaN,"Op. 93, Biamonti 659",1812.0,0.0,F
Op. 94,,,Biamonti 611," An die Hoffnung (""Ob ein Gott sei?"")",B flat minor, v pf,Vocal, 2nd setting; see Op.32,"Op. 94, Biamonti 611",1815.0,1.0,B flat
Op. 95,,,Biamonti 524," String Quartet No.11 (""Serioso"")",F minor, 2vn va vc,Chamber, NaN,"Op. 95, Biamonti 524",1811.0,1.0,F
Op. 96,,,Biamonti 550," Violin Sonata No.10 (""Cock-crow"")",G major, vn pf,Chamber, NaN,"Op. 96, Biamonti 550",1812.0,0.0,G
Op. 97,,,Biamonti 536," Piano Trio(""Archduke"")",B flat major, vn va vc,Chamber, NaN,"Op. 97, Biamonti 536",1815.0,0.0,B flat
Op. 98 No. 1,,,Biamonti 652, An die ferne Geliebte: Auf dem Hügel sitz' ich  spähend,, v pf,Vocal, NaN,"Op. 98 No. 1, Biamonti 652",1816.0,,
Op. 98 No. 2,,,Biamonti 652, An die ferne Geliebte: Wo die Bergen so blau,, v pf,Vocal, NaN,"Op. 98 No. 2, Biamonti 652",1816.0,,
